Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2018,Nassau,NY,Passenger,1,0,1,40,41,2.44
September 30 2018,Benton,WA,Passenger,188,208,396,132407,132803,0.3
September 30 2018,Orange,CA,Passenger,4,1,5,568,573,0.87
August 31 2019,Anne Arundel,MD,Passenger,1,1,2,432,434,0.46
May 31 2023,Yakima,WA,Truck,12,0,12,61085,61097,0.02
August 31 2017,Clark,WA,Truck,0,0,0,77877,77877,0
October 31 2018,Hardin,KY,Passenger,0,1,1,111,112,0.89
August 31 2019,El Paso,CO,Passenger,3,2,5,749,754,0.66
April 30 2019,Kalamazoo,MI,Passenger,1,0,1,14,15,6.67
February 28 2022,Penobscot,ME,Passenger,0,1,1,6,7,14.29
January 31 2022,Yakima,WA,Truck,0,0,0,61591,61591,0
February 28 2017,Walla Walla,WA,Truck,0,0,0,13160,13160,0
June 30 2022,Asotin,WA,Passenger,23,19,42,12698,12740,0.33
January 31 2023,Jefferson,NY,Passenger,2,0,2,209,211,0.95
August 31 2020,Ada,ID,Passenger,0,1,1,276,277,0.36
May 31 2022,Escambia,FL,Passenger,0,1,1,147,148,0.68
May 31 2024,Mason,WA,Passenger,616,261,877,45715,46592,1.88
August 31 2019,Jefferson,WA,Truck,0,0,0,9671,9671,0
May 31 2019,Mason,WA,Truck,0,0,0,20354,20354,0
June 30 2022,St. Clair,IL,Passenger,1,0,1,126,127,0.79
May 31 2019,Monterey,CA,Passenger,0,1,1,198,199,0.5
June 30 2020,Salt Lake,UT,Passenger,1,1,2,206,208,0.96
September 30 2020,Washtenaw,MI,Passenger,1,1,2,35,37,5.41
May 31 2019,Valencia,NM,Passenger,1,0,1,9,10,10
May 31 2021,Richmond,NY,Passenger,1,0,1,7,8,12.5
September 30 2022,Grays Harbor,WA,Passenger,224,166,390,48720,49110,0.79
February 29 2024,Cowlitz,WA,Passenger,631,260,891,69533,70424,1.27
February 28 2023,Benton,WA,Truck,15,0,15,43325,43340,0.03
August 31 2023,Benton,WA,Truck,27,0,27,43195,43222,0.06
August 31 2023,Wake,NC,Passenger,4,0,4,83,87,4.6
August 31 2020,San Diego,CA,Passenger,16,3,19,2746,2765,0.69
January 31 2020,Wahkiakum,WA,Passenger,4,5,9,3035,3044,0.3
December 31 2019,Prince George's,MD,Passenger,1,1,2,175,177,1.13
May 31 2022,Washoe,NV,Passenger,1,0,1,74,75,1.33
July 31 2019,Columbia,WA,Truck,0,0,0,1529,1529,0
November 30 2022,Spokane,WA,Passenger,1891,914,2805,323808,326613,0.86
March 31 2021,Utah,UT,Passenger,0,1,1,133,134,0.75
July 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20
May 31 2018,Clark,WA,Truck,0,0,0,78896,78896,0
December 31 2023,Rockdale,GA,Passenger,1,0,1,5,6,16.67
October 31 2019,Sangamon,IL,Passenger,1,0,1,5,6,16.67
March 31 2022,Mason,WA,Passenger,284,169,453,47585,48038,0.94
November 30 2020,Okanogan,WA,Passenger,50,37,87,25967,26054,0.33
August 31 2020,San Juan,WA,Passenger,320,100,420,13919,14339,2.93
December 31 2021,Collin,TX,Passenger,3,0,3,119,122,2.46
July 31 2021,Kings,CA,Passenger,1,0,1,331,332,0.3
October 31 2022,Palm Beach,FL,Passenger,1,1,2,58,60,3.33
May 31 2024,Marion,OR,Passenger,1,0,1,42,43,2.33
November 30 2021,Kings,NY,Passenger,1,0,1,71,72,1.39
April 30 2023,Marion,IA,Passenger,1,0,1,0,1,100
October 31 2019,Okanogan,WA,Passenger,24,28,52,26237,26289,0.2
December 31 2019,Douglas,WA,Passenger,67,38,105,28287,28392,0.37
March 31 2019,Grays Harbor,WA,Passenger,69,80,149,47577,47726,0.31
November 30 2022,San Francisco,CA,Passenger,1,0,1,80,81,1.23
December 31 2020,Charleston,SC,Passenger,2,0,2,94,96,2.08
August 31 2023,Alameda,CA,Passenger,5,2,7,175,182,3.85
September 30 2019,Montgomery,PA,Passenger,2,0,2,37,39,5.13
August 31 2021,Harrison,MS,Passenger,2,0,2,56,58,3.45
September 30 2023,Rockingham,NH,Passenger,1,0,1,9,10,10
November 30 2023,Pima,AZ,Passenger,1,0,1,185,186,0.54
June 30 2022,Manassas,VA,Passenger,0,1,1,7,8,12.5
April 30 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25
December 31 2018,Franklin,WA,Passenger,44,66,110,59104,59214,0.19
April 30 2019,Duval,FL,Passenger,1,2,3,389,392,0.77
March 31 2018,Norfolk,MA,Passenger,1,0,1,39,40,2.5
October 31 2020,Deschutes,OR,Passenger,2,0,2,142,144,1.39
June 30 2021,Flathead,MT,Passenger,2,0,2,52,54,3.7
October 31 2018,Pacific,WA,Passenger,19,23,42,15753,15795,0.27
October 31 2023,Cook,IL,Passenger,2,1,3,152,155,1.94
April 30 2023,Cowlitz,WA,Truck,8,0,8,28231,28239,0.03
May 31 2022,Pinellas,FL,Passenger,0,1,1,86,87,1.15
March 31 2023,Yellowstone,MT,Passenger,0,1,1,16,17,5.88
November 30 2022,Napa,CA,Passenger,0,1,1,13,14,7.14
August 31 2021,Missoula,MT,Passenger,1,0,1,60,61,1.64
April 30 2020,Prince William,VA,Passenger,2,4,6,225,231,2.6
December 31 2019,Hillsborough,FL,Passenger,0,1,1,195,196,0.51
May 31 2022,Harnett,NC,Passenger,2,0,2,158,160,1.25
December 31 2019,Montgomery,OH,Passenger,0,1,1,46,47,2.13
February 29 2020,San Mateo,CA,Passenger,0,1,1,128,129,0.78
November 30 2022,Garfield,WA,Truck,0,0,0,976,976,0
